,close_CEX_x,open_CEX_x,ETH_USDT,open,high,low,close,volume,rolling_volatility,rolling_avg_price_diff,price_change,jump_intensity,bid_price,ask_price,eth_inventory,bubble_inventory,cashflow,pnl_eth,pnl_usd,price,price_difference,spread_multiplier,discrepancy_spread_component
2024-12-23 08:19:00,1.3399737003385635e-06,1.3420778965372365e-06,3355.99,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.27478606446889e-09,0.0,0.0,1.3275300136595461e-06,1.3716108223154287e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4456.333551271271,1.3495704179874874e-06,9.59671764892394e-09,0.0101,0.0001
2024-12-23 08:20:00,1.3405623517718931e-06,1.3394291289397598e-06,3361.88,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.479785828027397e-09,0.0,0.0,1.3273250138959876e-06,1.3718158220789872e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4464.154732090341,1.3495704179874874e-06,9.008066215594315e-09,0.0101,0.0001
2024-12-23 08:21:00,1.3433783610545488e-06,1.3397069372471864e-06,3359.69,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.310107146543874e-09,0.0,0.0,1.327494692577471e-06,1.3716461433975038e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4461.24668693011,1.3495704179874874e-06,6.19205693293863e-09,0.0101,0.0001
2024-12-23 08:22:00,1.3422818791946309e-06,1.343230191379002e-06,3354.6,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.26969866076186e-09,0.0,0.0,1.3275351010632532e-06,1.3716057349117217e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4454.487805712951,1.3495704179874874e-06,7.288538792856559e-09,0.0101,0.0001
2024-12-23 08:23:00,1.3416677099541547e-06,1.3425798991500471e-06,3355.48,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.05715277632981e-09,0.0,0.0,1.3277476469476853e-06,1.3713931890272896e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4455.656335275054,1.3495704179874874e-06,7.902708033332693e-09,0.0101,0.0001
2024-12-23 08:24:00,1.3436817416836753e-06,1.3426360749586296e-06,3353.85,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,7.781513785639359e-09,0.0,0.0,1.3280232859383758e-06,1.371117550036599e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4453.49189983616,1.3495704179874874e-06,5.8886763038121066e-09,0.0101,0.0001
2024-12-23 08:25:00,1.3456570754505679e-06,1.3427865506499087e-06,3351.24,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,7.422367383934154e-09,0.0,0.0,1.328382432340081e-06,1.3707584036348938e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4450.026147384925,1.3495704179874874e-06,3.9133425369195606e-09,0.0101,0.0001
2024-12-23 08:26:00,1.343959341203419e-06,1.3445749596060054e-06,3348.27,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,7.187360757634364e-09,0.0,0.0,1.3286174389663808e-06,1.3705233970085941e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4446.082360112831,1.3495704179874874e-06,5.611076784068483e-09,0.0101,0.0001
2024-12-23 08:27:00,1.344623150097815e-06,1.343180740285579e-06,3352.49,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.7844971628585675e-09,0.0,0.0,1.3290203025611564e-06,1.3701205334138182e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4451.685990512911,1.3495704179874874e-06,4.947267889672361e-09,0.0101,0.0001
2024-12-23 08:28:00,1.3444876008365699e-06,1.3435522925480617e-06,3349.33,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.54312682890362e-09,0.0,0.0,1.3292616728951114e-06,1.3698791630798635e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4447.489907085363,1.3495704179874874e-06,5.0828171509175455e-09,0.0101,0.0001
